Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
4Y94594P ;CHARM-CZ SNOWFLAKE;      0 ;     15-;     15-;     15 ;      0 ;      0 ;4INAH  ;
4Y95244P ;CHARM-MINI CZ BUTTERFLY;      0 ;      2-;      2-;      7 ;      5 ;      0 ;4INAH  ;
4Y95580P ;PEND-ROUND TAG W/ ROPE RIM;      0 ;     18-;     18-;     26 ;      8 ;      0 ;4INAH  ;
4Y95581P ;PEND-OVAL TAG W/ROPE RIM;      0 ;      7-;      7-;     10 ;      3 ;      0 ;4INAH  ;
4Y96330P ;CHARM-CZ RIBBON CROSS;      0 ;      7-;      8-;     10 ;      2 ;      1 ;4INAH  ;
4Y96687P ;CHRM-2 BUTTERFLIES;      0 ;      2-;      2-;     10 ;      8 ;      0 ;4INAH  ;
4Y97912P ;PND-CROSS W/CZ RIM AND BAIL;      0 ;      1-;      1-;     71 ;     70 ;      0 ;4INAH  ;
C4Y816111;DNGL-7X7 HRT CZ;      0 ;     40-;     40-;     40 ;      0 ;      0 ;4INAH  ;
CXY90545 ;NECK-TRIPLE FLOWER;      0 ;     15-;    215-;    420 ;    205 ;    200 ;4INAH  ;
XY800989 ;STUD PRL CZ;      0 ;     86-;     86-;    150 ;     64 ;      0 ;4INAH  ;
XY801442 ;STUD-CZ HALO;      0 ;     53-;    553-;    978 ;    425 ;    500 ;4INAH  ;
XY801444 ;HOOP-12MM HUGGIE;      0 ;     23-;    423-;    804 ;    381 ;    400 ;4INAH  ;
XY807847 ;STD-6M RND AAA CZ DN POST;      0 ;    100-;    100-;    100 ;      0 ;      0 ;4INAH  ;
XY807859P;CHM-BABY RNG/2.25M CZ-GA;      0 ;      1-;      1-;     13 ;     12 ;      0 ;4INAH  ;
XY807861P;CHM-BABY RNG/2.25M CZ-AQ;      0 ;      2-;      2-;      6 ;      4 ;      0 ;4INAH  ;
XY807864P;CHM-BABY RNG/2.25M CZ ALX;      0 ;      1-;      1-;      5 ;      4 ;      0 ;4INAH  ;
XY807866P;CHM-BABY RNG/2.25M PD GL;      0 ;     14-;     14-;     28 ;     14 ;      0 ;4INAH  ;
XY807870P;CHM-BABY RNG/2.25M CZ-TO;      0 ;      1-;      1-;     16 ;     15 ;      0 ;4INAH  ;
XY810130 ;HOOP-15MM THIN HUGGIE;      0 ;     34-;     34-;     90 ;     56 ;      0 ;4INAH  ;
XY810834 ;HOOP-HUGGIE;      0 ;    156-;    196-;    196 ;      0 ;     40 ;4INAH  ;
XY813853 ;DNGL-GRAD OVAL LINKS;      0 ;     22-;     22-;    150 ;    128 ;      0 ;4INAH  ;
XY814112 ;STUD-CZ BUTTERFLY;      0 ;     90-;     90-;    150 ;     60 ;      0 ;4INAH  ;
XY817422 ;STUD-OVAL MARY;      0 ;      4-;      4-;     20 ;     16 ;      0 ;4INAH  ;
XY90540P ;CHARM OPN HEART CZ;      0 ;     26-;    226-;    588 ;    362 ;    200 ;4INAH  ;
XY90541P ;CHARM CROSS CZ;      0 ;    251-;    251-;   1096 ;    845 ;      0 ;4INAH  ;
XY93603  ;DC BAND TOE RING;      0 ;      4-;      4-;      5 ;      1 ;      0 ;4INAH  ;
XY93633  ;CZ INFINITY ANKLET 9+1";      0 ;     14-;     14-;     46 ;     32 ;      0 ;4INAH  ;
XY93938  ;BYPASS CZ TOE RING;      0 ;      1-;      1-;     13 ;     12 ;      0 ;4INAH  ;
XY96138-7;RING-SQRD POLISHED BAND SIZE 7;      0 ;      1-;      1-;     20 ;     19 ;      0 ;4INAH  ;
XY96143-7;RING-POLISHED BAND W/CZ POL CIRC SET 7;      0 ;      1-;      1-;     10 ;      9 ;      0 ;4INAH  ;
XY96176P ;PND-CZ BUTTERFLY;      0 ;      4-;      4-;     24 ;     20 ;      0 ;4INAH  ;
XY99168P ;PND-BEAR;      0 ;      1-;      1-;     10 ;      9 ;      0 ;4INAH  ;
7B801874 ;HOOP DBL POLLISH AND SPARKLE;      0 ;     22-;     22-;     34 ;     12 ;      0 ;6BENSO ;
SE272-DC ;SE272-DC 26-1302-00080-14K / SILVER 54X3.75mm HOOP;      0 ;     10-;     10-;     88 ;     78 ;      0 ;6BENSO ;
SE636    ;SS DC OVAL HOOP W/14K YEL FNDGS;      0 ;     50-;     50-;     96 ;     46 ;      0 ;6BENSO ;
SE945    ;3MM X 35MM HP;      0 ;      8-;      8-;     90 ;     82 ;      0 ;6BENSO ;
SE946    ;3MM X 45MM HP;      0 ;     42-;     42-;    164 ;    122 ;      0 ;6BENSO ;
SS741425 ;SS MED ROUND PUFFED HOOP;      0 ;     34-;     34-;    136 ;    102 ;      0 ;6BENSO ;
DD06     ;STUD-6M DC DOME CLOSED BK;      0 ;      8 ;      8 ;     42 ;     50 ;      0 ;6CANDS ;
SS1064   ;4MM BALL EARRING,SS WITH E-COAT;     28 ;    314-;    514-;    814 ;    300 ;    200 ;7ACPL  ;
SS7469   ;SM PUFFED CROSS CHARM W/BAIL;      0 ;      2-;      2-;     94 ;     92 ;      0 ;7ACPL  ;
SV12687  ;GOS 5MM BALL STUD EARRING';      0 ;      2-;     52-;    160 ;    108 ;     50 ;7ACPL  ;
SV716803 ;HOOP-1.25MM X 12MM ENDLESS D/C;      0 ;      8-;      8-;     82 ;     74 ;      0 ;7ACPL  ;
SS70778-6;RNG-CZ HRTS/POL CROSS SZ 6;      0 ;     12-;     12-;     31 ;     19 ;      0 ;7ANSUN ;
SS710138 ;PNDT-EMERALD CRYS DINO;      0 ;     24-;     24-;     56 ;     32 ;      0 ;7ANSUN ;
SS725690P;CHRM-RH CROSS W/3.5MM WHT CZ;      0 ;      2-;      2-;    313 ;    311 ;      0 ;7ANSUN ;
SS729799P;CHRM-MULTICLR CRY UNICORN;      0 ;      4-;      4-;    239 ;    235 ;      0 ;7ANSUN ;
SS731662 ;PNDT-CRY+ENAMEL SEASHELL;      0 ;     32-;     32-;     58 ;     26 ;      0 ;7ANSUN ;
SS731664 ;PNDT-CRY+ENAMEL PNGUIN;      0 ;      2-;      2-;     22 ;     20 ;      0 ;7ANSUN ;
SS731669 ;PNDT-CRY+ENAMEL FOX;      0 ;      4 ;      4 ;     26 ;     30 ;      0 ;7ANSUN ;
WSMNUT   ;WHITE GOLD-SM NUT HALM#074CFR920001E5;      0 ;   9649 ;   9649 ;   4620 ;  14269 ;      0 ;7ASA   ;
GF15CRB  ;BRL018-GF-15' GOLD FILLED CABLE CHAIN;      0 ;     85-;   1985-;   2508 ;    523 ;   1900 ;7GZM   ;
403149   ;HOOP-CZ HUGGIE;      0 ;     20 ;     20 ;    104 ;    124 ;      0 ;7INAH  ;
4Y809965 ;STUD-FEB PURPLE CZ HALO THREAD POST;      0 ;     54-;     54-;    154 ;    100 ;      0 ;7INAH  ;
4Y814801 ;STUD-BALL W/FW PEARL;      0 ;      6 ;      6 ;    108 ;    114 ;      0 ;7LEE'S ;
S1508Z   ;STUD-3MM RND CZ (NO CLUTCH);      0 ;    161-;    161-;    992 ;    832 ;      0 ;7LEE'S ;
SS13283  ;SS 6MM RD CZ EAR -;      0 ;     50-;     50-;    228 ;    178 ;      0 ;7LEE'S ;
SS13764E ;SS PINK CZ OPEN HEART STUD EAR;      0 ;    133-;    133-;    168 ;     35 ;      0 ;7LEE'S ;
SS13764NC;SS PINK CZ OPEN HEART CHARM;      0 ;      9-;      9-;      9 ;      0 ;      0 ;7LEE'S ;
SS13764R ;SS 3MM PINK CZ OPEN HEART RING;      0 ;     73-;     73-;    159 ;     86 ;      0 ;7LEE'S ;
SS1514PK ;SS 4MM RD PINK CZ STUD EARRING;      0 ;     28-;     28-;    142 ;    114 ;      0 ;7LEE'S ;
SS704687 ;STUD-4MM RD CLEAR CRYSTAL;      0 ;     51-;     51-;    406 ;    355 ;      0 ;7LEE'S ;
SS704690 ;STUD-4MM RD AQUA CRYSTAL;      0 ;     10-;     10-;    248 ;    238 ;      0 ;7LEE'S ;
SS704691 ;STUD-4MM RD AMY CRYSTAL;      0 ;     30-;     30-;    248 ;    218 ;      0 ;7LEE'S ;
SS707610 ;STUD-4MM RD LT.ROSE CRYSTAL;      0 ;     91-;     91-;    570 ;    479 ;      0 ;7LEE'S ;
SS723003 ;STUD-4MM RD PERIDOT CRYSTAL;      0 ;     23-;     23-;    138 ;    115 ;      0 ;7LEE'S ;
SV NUT   ;GOLD PLATED SS EAR CLUTCH-;     56 ;   1690-;   1690-;   1756 ;     66 ;      0 ;7LEE'S ;
46-265   ;HOOP-XSM FLAT;      0 ;     26-;     84-;    558 ;    474 ;     58 ;7RIGRO ;
SS17669  ;HOOP-4.5MM MULTICRY FIREBALL RH;      0 ;      4-;      4-;     24 ;     20 ;      0 ;7ROYI  ;
SS15292P ;CHRM-DBL HRT W/LT ROSE CRY;      0 ;     16-;     16-;    174 ;    158 ;      0 ;7SILVE ;
SS730381 ;PNDT-BLK DIA CRY KITTY;      0 ;      8-;    108-;    133 ;     25 ;    100 ;7SILVE ;
SS731691 ;COMPLETE/PKGD SET-4PR 4MM AB/PK/CHRYS/VI CRY STUDS;      0 ;     27-;    185-;    344 ;    159 ;    158 ;7SILVE ;
SS731718 ;COMPLETE/PKGD SET-3PR PK/LTSAP CRY&BFLY STUDS;      0 ;      4-;    328-;    359 ;     31 ;    324 ;7SILVE ;
SS740299P;CHARM-LT ROSE/TANZ/AQUA CRYSTAL BUTTERFLY;      0 ;     29-;     29-;    183 ;    154 ;      0 ;7SILVE ;
SS743795 ;SSRH LT ROSE CRYS 4MM STD / PV OPN HRT STD DUO ST;      0 ;      8-;     58-;     70 ;     12 ;     50 ;7SILVE ;
SS12808  ;SSEC PER CRYS FLWR W/ PRL CNTR STUD;      0 ;     60-;    230-;    246 ;     16 ;    170 ;7TOPAZ ;
SS12809  ;STUD-LT ROSE CRYS FLR W/PRL CNTR;      0 ;     52-;    162-;    246 ;     84 ;    110 ;7TOPAZ ;
SS12810  ;STUD-AQUA FLR W/PRL CNTR;      0 ;     55-;    165-;    246 ;     81 ;    110 ;7TOPAZ ;
SS3101   ;SS #E-352 WHITE PEARL - 5MM PEARL EAR;      0 ;     32-;     92-;    124 ;     32 ;     60 ;7TOPAZ ;
SS3603   ;SS #E-229 -- 4MM WHITE PEARL POST EAR;      0 ;     24-;     24-;    262 ;    238 ;      0 ;7TOPAZ ;
SS710394 ;STUD-CRYS RNBOW W/CLOUDS;      0 ;     26-;     26-;    114 ;     88 ;      0 ;7TOPAZ ;
SS714176 ;STUD-L/R HEART W/MULTICLR CRY;      0 ;     44-;    244-;    268 ;     24 ;    200 ;7TOPAZ ;
SS723090 ;STUD-MULTCLR CRYSTAL FLR;      0 ;     14-;     14-;     96 ;     82 ;      0 ;7TOPAZ ;
SS723927 ;SET-2PR LT SAPPH CRY/TURTLE STUDS;      0 ;      6-;    325-;    406 ;     81 ;    319 ;7TOPAZ ;
SS729124 ;STUD-PNK ENAM UNICORN;      0 ;      2-;     62-;    158 ;     96 ;     60 ;7TOPAZ ;
SS731717 ;COMPLETE/PKGD SET-3PR PK/BLUZI CRY&FLWR STUDS;      0 ;      4-;    578-;    649 ;     71 ;    574 ;7TOPAZ ;
SS731743 ;HOOP-14MM ENDLESS TWIST;      0 ;     48-;    192-;    298 ;    106 ;    144 ;7TOPAZ ;
BU711334 ;GP 2PR-12MM CRYST HOOP&14MM CRYST W/PEAR HOOP;      0 ;    100-;    100-;    254 ;    154 ;      0 ;8ANSUN ;
BU731842 ;HOOP-CLR/LT AMY/AMY CRYS THREADER;      0 ;      2-;      2-;    180 ;    178 ;      0 ;8ANSUN ;
BU748184 ;PNDT BRS/FLSH GP+EC_SWEATER_HEART_18"SING CHN;      0 ;      1-;      1-;     25 ;     24 ;      0 ;8ANSUN ;
BU748186 ;PNDT BRS GP+EC MUG & SPOON 18"SM PPRCLP CHN;      0 ;      1-;      1-;     25 ;     24 ;      0 ;8ANSUN ;
BU748187 ;PNDT BRSS/FLSH GP+EC CZ_GOOSE & HRT CHRM 18" D/C CBL CHN;      0 ;      1-;      1-;     30 ;     29 ;      0 ;8ANSUN ;
BU748195 ;PNDT BRSS/FLSH GP + EC CZ BEAR CHRM 18" SM ROPR CHN;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8ANSUN ;
BU748196 ;PNDT BRSS/FLSH GP+EC CZ PAW CHRM 18" D/C CBL CHN;      0 ;      1-;      1-;     30 ;     29 ;      0 ;8ANSUN ;
BU748197A;BRSS GP PNDT CZ BOW CHRM 18" D/C CBL CHN;      0 ;      2-;      2-;     50 ;     48 ;      0 ;8ANSUN ;
BU748394 ;PNDT GLD PLT CZ GNGRBRD HSE PNK ENML/POL STAR;      0 ;      1-;      1-;     25 ;     24 ;      0 ;8ANSUN ;
BU748396 ;PNDT GLD PLT CLAY CRYS CARDINAL CHRM;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8ANSUN ;
BW725208 ;DROP-CHINA CRY/POL TWIST POST EAR;      0 ;      4-;      4-;    140 ;    136 ;      0 ;8ANSUN ;
BW730005 ;HOOP-OVL IN+OUT PUFFED PNK OMBRE;      0 ;    316-;    316-;    464 ;    148 ;      0 ;8ANSUN ;
BW730006 ;HOOP-25MM RND RNBW CRYS OMBRE;      0 ;    158-;    158-;    184 ;     26 ;      0 ;8ANSUN ;
BW731737 ;HOOP-38MM OVL POST CHINA CRY EAR;      0 ;      4-;      4-;    110 ;    106 ;      0 ;8ANSUN ;
BW748189 ;PNDT SLV PLT HOL GRTNG CZ SNWMN/POL SNWFLK CHRM 18 SM PPRCLP;      0 ;      2-;      2-;     50 ;     48 ;      0 ;8ANSUN ;
BW748190 ;PNDT BRSS/IMIT RH+EC ANGEL+PRL CHRM 18"SM CURB CHN;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8ANSUN ;
BW748198 ;PNDT BRSS IMIT RH + EC CZ SNOWFLK CHRM 18" CHN;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8ANSUN ;
BW748393 ;PNDT SLV PLT HOL GRTNG CLAY CRYS SANTA CHRM 18 SING CHN;      0 ;      1-;      1-;     30 ;     29 ;      0 ;8ANSUN ;
BW748395 ;PNDT SLV PLT CANDY CANE HRT PNDT 18 THN ROPE CHN;      0 ;      1-;      1-;     25 ;     24 ;      0 ;8ANSUN ;
BW801243 ;HOOP-25MM w/CRYSTAL-SP;      0 ;    822-;   5972-;   8522 ;   2550 ;   5150 ;8ANSUN ;
BB743830 ;FGPBR 2TN DIA ACC BFLY PDT;      0 ;      1-;      1-;     74 ;     73 ;      0 ;8CARLI ;
BB748004 ;FGPBR 2TN DIA ACC HMMNGBRD PDT;      0 ;      2-;    766-;    900 ;    134 ;    764 ;8CARLI ;
BR744229 ;RGPBR CLR BAG/LT ROSE RND CRYS HP;      0 ;     94-;   2294-;   2420 ;    126 ;   2200 ;8CARLI ;
BU743587 ;FGPBR DMND ACCNT "L" PNDT NK 18";      0 ;      3-;      3-;     13 ;     10 ;      0 ;8CARLI ;
BU743588 ;FGPBR DMND ACCNT "M" PNDT NK 18";      0 ;      3-;      3-;     37 ;     34 ;      0 ;8CARLI ;
BU743596 ;FGPBR DMND ACCNT "T" PNDT NK 18";      0 ;      1-;      1-;     50 ;     49 ;      0 ;8CARLI ;
BU743674 ;FGPBR CLR CRY MTL CUTOUT POST HP ER;      0 ;     12-;     12-;   1566 ;   1554 ;      0 ;8CARLI ;
BU743721 ;FGPBR DMND ACCNT "W" PNDT NK 18";      0 ;      1-;      1-;      4 ;      3 ;      0 ;8CARLI ;
BU743734 ;FGPBR OPAL/TREE/DLPHN/CZ CHRM PACK W/ CHN;      0 ;      1-;      1-;     15 ;     14 ;      0 ;8CARLI ;
BU743743 ;FGPBR OPAL/HRT/STAR/BOW CHRM PACK W/ CHN;      0 ;      2-;      2-;     45 ;     43 ;      0 ;8CARLI ;
BU744168 ;FGPBR 2PR CRY STD/TWIST POST HP SET;      0 ;     35-;     35-;    440 ;    405 ;      0 ;8CARLI ;
BU747029 ;FGPBR KNOT CNTR CRYS CLKTP HP;      0 ;      6-;      6-;     48 ;     42 ;      0 ;8CARLI ;
BU747060 ;FGPBR HRT STD+MTL ENVELOPE PDT SET;      0 ;      3-;      3-;     23 ;     20 ;      0 ;8CARLI ;
BU747061 ;FGPBR CZ KEY PDT/HRT STD SET 16+3";      0 ;     14-;     14-;     34 ;     20 ;      0 ;8CARLI ;
BU747067 ;FGPBR CZ STD/BLU CZ CROSS PDT SET;      0 ;      3-;      3-;     13 ;     10 ;      0 ;8CARLI ;
BU747996 ;PNDT 14K GLD DP GEN DIA INIT M 18 DC CBL;      0 ;      1-;    407-;    600 ;    193 ;    406 ;8CARLI ;
BU748205 ;PNDT_BRSS/FLSH GP 3 CROSS CHRM 18" CURB CHN;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8CARLI ;
BU748397 ;PNDT GLD PLT BR RED CZ CHOC BOX ENML BOW 18 DC CBL CHN;      0 ;      1-;      1-;     50 ;     49 ;      0 ;8CARLI ;
BW725323 ;HOOP-DBL ROW PEAR CRYS ER;      0 ;      2-;      2-;     34 ;     32 ;      0 ;8CARLI ;
BW743485 ;IMRHB CLR CRY/PEAR CZ BYPASS HP;      0 ;     68-;     68-;    900 ;    832 ;      0 ;8CARLI ;
BW743582 ;IMRHB DMND ACCNT "A" PNDT NK 18";      0 ;      1-;      1-;    170 ;    169 ;      0 ;8CARLI ;
BW743589 ;IMRHB DMND ACCNT "S" PNDT NK 18";      0 ;      2-;      2-;    145 ;    143 ;      0 ;8CARLI ;
BW743832 ;IMRHB DIA ACC DOG PDT;      0 ;      5-;      5-;      5 ;      0 ;      0 ;8CARLI ;
BW744160 ;IMRHB CLR CRY HRT/BFLY DNGL HP ER;      0 ;     60-;     60-;    890 ;    830 ;      0 ;8CARLI ;
BW744165 ;IMRHB BLK & WT CRY CROSSOVER HP;      0 ;    102-;   1902-;   1980 ;     78 ;   1800 ;8CARLI ;
BW744231 ;IMRHB 2PR CLR/LT SAPPH CRY STD/HP SET;      0 ;      8-;    808-;   1367 ;    559 ;    800 ;8CARLI ;
BW747026 ;IMRHB FAUX MARQ CRYS POST HP;      0 ;      4-;      4-;     30 ;     26 ;      0 ;8CARLI ;
BW748008 ;PNDT SLV PLT GEN DIA FAM TREE 18 DC CBL;      0 ;      3-;    509-;    700 ;    191 ;    506 ;8CARLI ;
BW748012 ;PNDT SLV PLT GEN DIA ROSE 18 DC CBL;      0 ;      1-;    515-;    600 ;     85 ;    514 ;8CARLI ;
BY743408 ;GPBR BRAIDED POST HP;      0 ;      4-;      4-;     30 ;     26 ;      0 ;8NICE  ;
BR746545 ;FRPBR CLR CRY BYPASS HOOP;      0 ;      4-;   1004-;   1308 ;    304 ;   1000 ;8SHANL ;
BU747220 ;FGPBR CRY DIA-PTTRN PUFF PST HP;      0 ;      2-;   1702-;   2232 ;    530 ;   1700 ;8SHANL ;
BU747222 ;FGPBR CRYS DBL ROW FRNT CLCKTP HP;      0 ;      8-;   1708-;   2238 ;    530 ;   1700 ;8SHANL ;
BW730223 ;HOOP-WHT/MONT CRYS IN/OUT;      0 ;    220-;    220-;    278 ;     58 ;      0 ;8SHANL ;
BW747227 ;IMRHB CRYS TRI HP POST;      0 ;     68-;   1768-;   2294 ;    526 ;   1700 ;8SHANL ;
BU747033 ;IMGBR CRYS BAMBOO BNGL BRC;      0 ;      5-;    583-;    598 ;     15 ;    578 ;8TONGF ;
BU747036 ;IMGBR CRYS CRISS-CROSS BNGL;      0 ;      4-;    564-;    569 ;      5 ;    560 ;8TONGF ;
BW747033 ;IMRHB CRYS BAMBOO BNGL BRC;      0 ;      1-;      1-;     23 ;     22 ;      0 ;8TONGF ;
                                                                                                                                                                                                                                                                                                                                                                                                                                        
